cod;nombre;provincia;ccaa;pob2025;sup_km2;densidad;pob_0_15;pob_16_64;pct_16_64;pob_65_mas;pct_65_mas;es_zona_rural;paro_total;paro_h_m25;paro_h_25_44;paro_h_m45;paro_m_m25;paro_m_25_44;paro_m_m45;paro_agri;paro_indus;paro_constr;paro_serv;paro_sin_emp;tasa_paro_est;contr_total;contr_h_indef;contr_h_temp;contr_m_indef;contr_m_temp;contr_agri;contr_indus;contr_constr;contr_serv;anio_pob;anio_edad;anio_sup;anio_paro
03056;Cocentaina;Alicante/Alacant;Comunitat Valenciana;11498;52.94;217.19;1643;7107;61.8;2736;23.8;NO;762;10;98;175;16;156;307;14;172;59;481;36;10.7;231;88;61;34;35;;38;66;127;2025;2025;2020;Abril 2026
03057;Confrides;Alicante/Alacant;Comunitat Valenciana;293;39.98;7.33;28;173;59.0;92;31.4;SI;18;;2;2;;7;7;;2;2;13;;10.4;2;2;0;2;0;;;;2;2025;2025;2020;Abril 2026
03058;Cox;Alicante/Alacant;Comunitat Valenciana;7722;16.71;462.12;1370;5150;66.7;1194;15.5;NO;426;15;54;103;9;94;151;22;39;26;297;42;8.3;545;323;104;84;33;310;27;13;195;2025;2025;2020;Abril 2026
03059;Crevillent;Alicante/Alacant;Comunitat Valenciana;30921;104.55;295.75;5168;20070;64.9;5642;18.2;NO;2396;82;268;539;65;468;974;71;504;165;1364;292;11.9;365;126;82;61;67;2;137;19;207;2025;2025;2020;Abril 2026
03060;Quatretondeta;Alicante/Alacant;Comunitat Valenciana;130;16.7;7.78;5;73;56.2;51;39.2;SI;6;0;2;2;;2;0;2;0;0;2;;8.2;;;;;;;;;;2025;2025;2020;Abril 2026
03061;Daya Nueva;Alicante/Alacant;Comunitat Valenciana;1885;7.09;265.87;251;1133;60.1;498;26.4;NO;98;2;9;19;2;14;51;2;9;9;62;14;8.6;20;7;2;11;2;2;2;;16;2025;2025;2020;Abril 2026
03062;Daya Vieja;Alicante/Alacant;Comunitat Valenciana;698;3.14;222.29;56;381;54.6;277;39.7;NO;21;0;2;6;2;2;10;;2;2;17;2;5.5;11;6;2;2;0;;;;11;2025;2025;2020;Abril 2026
03063;Dénia;Alicante/Alacant;Comunitat Valenciana;47261;66.18;714.13;6279;31175;66.0;10114;21.4;NO;2312;49;269;606;57;397;934;24;119;262;1794;113;7.4;784;268;116;241;136;10;24;82;668;2025;2025;2020;Abril 2026
03064;Dolores;Alicante/Alacant;Comunitat Valenciana;8326;18.7;445.24;1395;5426;65.2;1514;18.2;NO;561;21;69;110;17;137;207;29;89;44;320;79;10.3;147;55;47;35;8;2;45;7;91;2025;2025;2020;Abril 2026
03065;Elx/Elche;Alicante/Alacant;Comunitat Valenciana;245557;326.5;752.09;37364;161744;65.9;46467;18.9;NO;16857;488;1976;3677;471;3439;6806;470;2730;1091;10999;1567;10.4;3689;1059;856;795;861;126;438;292;2833;2025;2025;2020;Abril 2026
03066;Elda;Alicante/Alacant;Comunitat Valenciana;55222;45.79;1205.98;8062;35089;63.5;12403;22.5;NO;4459;142;606;942;150;1006;1613;180;803;253;2557;666;12.7;550;155;125;94;142;2;113;49;386;2025;2025;2020;Abril 2026
03067;Fageca;Alicante/Alacant;Comunitat Valenciana;100;10.17;9.83;2;59;59.0;39;39.0;SI;2;;2;2;2;0;2;;0;;2;;3.4;;;;;;;;;;2025;2025;2020;Abril 2026
03068;Famorca;Alicante/Alacant;Comunitat Valenciana;44;9.72;4.53;0;23;52.3;21;47.7;SI;2;;2;2;;2;2;;;;2;;8.7;;;;;;;;;;2025;2025;2020;Abril 2026
03069;Finestrat;Alicante/Alacant;Comunitat Valenciana;9919;42.25;234.77;1768;6736;67.9;1476;14.9;NO;290;8;25;82;7;54;114;0;2;29;242;16;4.3;359;120;67;71;96;;10;16;333;2025;2025;2020;Abril 2026
03070;Formentera del Segura;Alicante/Alacant;Comunitat Valenciana;4868;4.33;1124.25;747;3073;63.1;1045;21.5;NO;269;12;38;65;2;68;82;8;27;22;176;36;8.8;32;14;2;6;6;;2;11;19;2025;2025;2020;Abril 2026
03071;Gata de Gorgos;Alicante/Alacant;Comunitat Valenciana;6773;20.33;333.15;939;4435;65.5;1430;21.1;NO;224;8;29;58;2;49;78;2;23;35;151;11;5.1;46;20;10;14;2;;7;14;25;2025;2025;2020;Abril 2026
03072;Gaianes;Alicante/Alacant;Comunitat Valenciana;577;9.57;60.29;99;334;57.9;153;26.5;SI;30;0;2;13;0;5;10;0;6;2;21;0;9.0;7;5;0;2;0;;5;2;;2025;2025;2020;Abril 2026
03073;Gorga;Alicante/Alacant;Comunitat Valenciana;286;9.11;31.39;32;176;61.5;80;28.0;SI;18;;2;5;;5;6;2;2;;12;2;10.2;2;2;0;;;;;;2;2025;2025;2020;Abril 2026
03074;Granja de Rocamora;Alicante/Alacant;Comunitat Valenciana;2728;7.17;380.47;495;1797;65.9;425;15.6;NO;147;2;16;35;2;36;54;7;15;7;114;2;8.2;27;16;2;2;2;2;2;5;17;2025;2025;2020;Abril 2026
03075;Castell de Guadalest, el;Alicante/Alacant;Comunitat Valenciana;284;15.96;17.79;30;188;66.2;62;21.8;SI;6;;2;2;2;0;2;;;;6;;3.2;9;2;0;5;2;;;;9;2025;2025;2020;Abril 2026
03076;Guardamar del Segura;Alicante/Alacant;Comunitat Valenciana;18564;33.94;546.97;2491;11539;62.2;4511;24.3;NO;862;37;106;198;17;176;328;18;46;54;699;45;7.5;201;58;22;70;41;7;10;11;173;2025;2025;2020;Abril 2026
03077;Fondó de les Neus, el/Hondón de las Nieves;Alicante/Alacant;Comunitat Valenciana;2738;68.85;39.77;261;1508;55.1;1006;36.7;SI;108;0;11;32;0;21;44;11;12;7;67;11;7.2;15;2;6;6;2;2;2;;10;2025;2025;2020;Abril 2026
